ID,RPM,Vibration,Status
1,498,604,faulty
2,517,594,faulty
3,541,574,faulty
4,555,587,faulty
5,572,537,faulty
6,600,553,faulty
7,621,482,faulty
8,632,539,faulty
9,656,476,faulty
10,653,554,faulty
11,679,516,faulty
12,688,524,faulty
13,684,450,faulty
14,699,512,faulty
15,703,505,faulty
16,717,377,faulty
17,740,377,faulty
18,749,501,faulty
19,756,492,faulty
20,752,381,faulty
21,762,508,faulty
22,781,474,faulty
23,781,480,faulty
24,804,460,faulty
25,828,346,faulty
26,830,366,faulty
27,864,344,faulty
28,882,403,faulty
29,891,338,faulty
30,921,362,faulty
31,941,301,faulty
32,965,336,faulty
33,976,297,faulty
34,994,287,faulty
35,501,463,good
36,526,443,good
37,536,412,good
38,564,394,good
39,584,398,good
40,602,398,good
41,610,428,good
42,638,389,good
43,652,394,good
44,659,336,good
45,662,364,good
46,672,308,good
47,691,248,good
48,694,401,good
49,718,313,good
50,720,410,good
51,723,389,good
52,744,227,good
53,741,397,good
54,770,200,good
55,764,370,good
56,790,248,good
57,786,344,good
58,792,290,good
59,818,268,good
60,845,232,good
61,867,195,good
62,878,168,good
63,895,218,good
64,916,221,good
65,950,156,good
66,956,174,good
67,973,134,good
68,1002,121,good
