% Data set from:
% Artificial Intelligence: A Modern Approach
% Book by Peter Norvig and Stuart J. Russell
%
@RELATION table

@ATTRIBUTE Alternate {Yes,No}
@ATTRIBUTE Bar {Yes,No}
@ATTRIBUTE FriSat {Yes,No}
@ATTRIBUTE Hungry {Yes,No}
@ATTRIBUTE Patrons {None,Some,Full}
@ATTRIBUTE Price {$,$$,$$$}
@ATTRIBUTE Raining {Yes,No}
@ATTRIBUTE Reservation {Yes,No}
@ATTRIBUTE Type {French,Thai,Italian,Burger}
@ATTRIBUTE WaitEst {0-10,10-30,30-60,>60}
@ATTRIBUTE WillWait {Yes,No}

@DATA
Yes,No,No,Yes,Some,$$$,No,Yes,French,0-10,Yes
Yes,No,No,Yes,Full,$,No,No,Thai,30-60,No
No,Yes,No,No,Some,$,No,No,Burger,0-10,Yes
Yes,No,Yes,Yes,Full,$,Yes,No,Thai,10-30,Yes
Yes,No,Yes,No,Full,$$$,No,Yes,French,>60,No
No,Yes,No,Yes,Some,$$,Yes,Yes,Italian,0-10,Yes
No,Yes,No,No,None,$,Yes,No,Burger,0-10,No
No,No,No,Yes,Some,$$,Yes,Yes,Thai,0-10,Yes
No,Yes,Yes,No,Full,$,Yes,No,Burger,>60,No
Yes,Yes,Yes,Yes,Full,$$$,No,Yes,Italian,10-30,No
No,No,No,No,None,$,No,No,Thai,0-10,No
Yes,Yes,Yes,Yes,Full,$,No,No,Burger,30-60,Yes
