datasource;dayofservice;tripid;progrnumber;stoppointid;plannedtime_arr;plannedtime_dep;actualtime_arr;actualtime_dep;vehicleid;passengers;passengersin;passengersout;distance;suppressed;justificationid;lastupdate;note
DB;27-MAR-17 00:00:00;4529349;5;4384;51343;51343;51476;51476;1000211;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4529349;10;523;51544;51544;51744;51763;1000211;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4529349;15;4382;51764;51764;52048;52077;1000211;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4529349;20;1223;52044;52044;52340;52340;1000211;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4529349;25;1228;52343;52343;52629;52637;1000211;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4529349;30;1231;52793;52793;53076;53076;1000211;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4529349;35;5174;52995;52995;53252;53252;1000211;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4534742;43;79;86061;86061;86010;86010;1001205;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4534742;48;819;86305;86305;86206;86206;1001205;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4519838;5;7017;68609;68609;68556;68556;1000613;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4519838;10;6112;68844;68844;68799;68799;1000613;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4519838;15;1860;69089;69089;69076;69076;1000613;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4519838;20;1864;69235;69235;69197;69211;1000613;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4519838;25;4489;69397;69397;69386;69386;1000613;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4519838;30;1696;70047;70047;70032;70047;1000613;;;;;;;09-APR-17 09:00:06;
