datasource;dayofservice;tripid;lineid;routeid;direction;plannedtime_arr;plannedtime_dep;actualtime_arr;actualtime_dep;basin;tenderlot;suppressed;justificationid;lastupdate;note
DB;24-FEB-17 00:00:00;4391739;140;140_19;1 ;76357;73800;76935;73806;BasDef;;;;05-MAR-17 02:56:33;,2412713,
DB;24-FEB-17 00:00:00;4388762;140;140_19;1 ;54484;51000;54607;;BasDef;;;;05-MAR-17 02:56:33;,2413302,
DB;24-FEB-17 00:00:00;4381744;4;4_12;2 ;57516;53100;58761;53041;BasDef;;;;05-MAR-17 02:56:33;,2612752,
DB;24-FEB-17 00:00:00;4388860;84A;84A_1;1 ;67967;65400;67842;65362;BasDef;;;;05-MAR-17 02:56:33;,2817382,
DB;24-FEB-17 00:00:00;4388883;39A;39A_40;1 ;34126;29400;34777;29619;BasDef;;;;05-MAR-17 02:56:33;,2417274,
DB;24-FEB-17 00:00:00;4388888;39A;39A_43;2 ;65671;60600;66094;60593;BasDef;;;;05-MAR-17 02:56:33;,2417282,
DB;24-FEB-17 00:00:00;4389028;39;39_21;2 ;63799;58920;64776;;BasDef;;;;05-MAR-17 02:56:33;,2414822,
DB;24-FEB-17 00:00:00;4379972;27;27_17;2 ;29021;24000;28859;24005;BasDef;;;;05-MAR-17 02:56:33;,2764337,
DB;24-FEB-17 00:00:00;4380017;41;41_7;2 ;33756;30000;33581;30066;BasDef;;;;05-MAR-17 02:56:33;,1727884,
DB;24-FEB-17 00:00:00;4380023;41C;41C_79;2 ;61616;57900;61644;57913;BasDef;;;;05-MAR-17 02:56:33;,1727893,
DB;24-FEB-17 00:00:00;4380062;33B;33B_56;1 ;49942;48600;50560;48788;BasDef;;;;05-MAR-17 02:56:33;,1751553,
DB;24-FEB-17 00:00:00;4385490;13;13_72;2 ;80309;75600;80679;75617;BasDef;;;;05-MAR-17 02:56:33;,2588532,
DB;24-FEB-17 00:00:00;4385509;83A;83A_17;1 ;38871;34500;38865;34502;BasDef;;;;05-MAR-17 02:56:33;,2756898,
DB;24-FEB-17 00:00:00;4385585;25A;25A_273;1 ;36218;33420;35708;;BasDef;;;;05-MAR-17 02:56:33;,2419097,
DB;24-FEB-17 00:00:00;4385640;27;27_19;1 ;43856;38100;44369;38087;BasDef;;;;05-MAR-17 02:56:33;,2757371,
DB;24-FEB-17 00:00:00;4380573;68X;68X_77;2 ;30207;27000;30077;26962;BasDef;;;;05-MAR-17 02:56:33;,2817893,
DB;24-FEB-17 00:00:00;4388158;102;102_9;2 ;71305;68400;72425;68919;BasDef;;;;05-MAR-17 02:56:33;,1757430,
DB;24-FEB-17 00:00:00;4387091;11;11_40;1 ;39481;36000;41402;36026;BasDef;;;;05-MAR-17 02:56:33;,2760663,
DB;24-FEB-17 00:00:00;4387104;9;9_5;1 ;59887;54900;60062;54916;BasDef;;;;05-MAR-17 02:56:33;,2753663,
DB;24-FEB-17 00:00:00;4387117;27B;27B_26;1 ;27717;26100;28614;;BasDef;;;;05-MAR-17 02:56:33;,1719061,
DB;24-FEB-17 00:00:00;4390022;9;9_5;1 ;45691;41400;46516;41403;BasDef;;;;05-MAR-17 02:56:33;,2764327,
DB;24-FEB-17 00:00:00;4388154;102;102_9;2 ;52303;49200;52797;49225;BasDef;;;;05-MAR-17 02:56:33;,1757424,
DB;24-FEB-17 00:00:00;4388174;37;37_14;1 ;66019;61200;66247;;BasDef;;;;05-MAR-17 02:56:33;,2776856,
DB;24-FEB-17 00:00:00;4388191;1;1_37;1 ;76368;73800;76346;73721;BasDef;;;;05-MAR-17 02:56:33;,1944232,
DB;24-FEB-17 00:00:00;4383791;15;15_17;2 ;50678;46200;51814;46213;BasDef;;;;05-MAR-17 02:56:33;,2762069,
DB;24-FEB-17 00:00:00;4383792;15;15_16;1 ;57406;52200;57888;52320;BasDef;;;;05-MAR-17 02:56:33;,2762071,
DB;24-FEB-17 00:00:00;4383794;15;15_16;1 ;70079;64800;71347;64773;BasDef;;;;05-MAR-17 02:56:33;,2762074,
DB;24-FEB-17 00:00:00;4394388;140;140_19;1 ;68251;64800;68845;64769;BasDef;;;;05-MAR-17 02:56:33;,2416376,
DB;24-FEB-17 00:00:00;4394409;123;123_36;2 ;84399;81900;;81877;BasDef;;;;05-MAR-17 02:56:33;,2754059,
DB;24-FEB-17 00:00:00;4394422;16;16_21;1 ;32462;27600;32397;27605;BasDef;;;;05-MAR-17 02:56:33;,1900700,
DB;24-FEB-17 00:00:00;4392810;41C;41C_78;1 ;28438;25500;29199;25489;BasDef;;;;05-MAR-17 02:56:33;,1745603,
DB;24-FEB-17 00:00:00;4392821;41;41_7;2 ;83653;81000;84633;80994;BasDef;;;;05-MAR-17 02:56:33;,1745622,
DB;24-FEB-17 00:00:00;4392883;61;61_106;1 ;68046;63900;67468;63910;BasDef;;;;05-MAR-17 02:56:33;,2525531,
DB;24-FEB-17 00:00:00;4392885;61;61_106;1 ;74795;72000;74901;72064;BasDef;;;;05-MAR-17 02:56:33;,2525535,
DB;24-FEB-17 00:00:00;4392891;142;142_9;2 ;47835;46800;48037;46810;BasDef;;;;05-MAR-17 02:56:33;,2343697,
DB;24-FEB-17 00:00:00;4389434;25A;25A_273;1 ;47352;44220;47141;;BasDef;;;;05-MAR-17 02:56:33;,2415487,
DB;24-FEB-17 00:00:00;4389479;27;27_9;2 ;85019;82800;85467;82909;BasDef;;;;05-MAR-17 02:56:33;,2756772,
DB;24-FEB-17 00:00:00;4382791;13;13_68;2 ;85500;81000;86366;81105;BasDef;;;;05-MAR-17 02:56:33;,1720881,
DB;24-FEB-17 00:00:00;4382845;32;32_58;2 ;30482;27600;30178;27610;BasDef;;;;05-MAR-17 02:56:33;,2666907,
DB;24-FEB-17 00:00:00;4382859;4;4_10;1 ;56244;52200;56278;52199;BasDef;;;;05-MAR-17 02:56:33;,2611251,
DB;24-FEB-17 00:00:00;4395729;16;16_24;2 ;64259;58800;65370;58786;BasDef;;;;05-MAR-17 02:56:33;,2764303,
DB;24-FEB-17 00:00:00;4388292;76;76_37;2 ;65251;62400;66423;63213;BasDef;;;;05-MAR-17 02:56:33;,1866219,
DB;24-FEB-17 00:00:00;4387254;61;61_109;2 ;31880;27000;30682;27249;BasDef;;;;05-MAR-17 02:56:33;,2520637,
DB;24-FEB-17 00:00:00;4387301;45A;45A_60;1 ;75436;72600;75402;72627;BasDef;;;;05-MAR-17 02:56:33;,2448761,
DB;24-FEB-17 00:00:00;4387336;38;38_14;2 ;59019;54960;59511;54973;BasDef;;;;05-MAR-17 02:56:33;,2699656,
DB;24-FEB-17 00:00:00;4385814;15;15_17;2 ;76437;72000;77309;72037;BasDef;;;;05-MAR-17 02:56:33;,2751760,
DB;24-FEB-17 00:00:00;4385839;33A;33A_22;1 ;49814;46800;50334;46775;BasDef;;;;05-MAR-17 02:56:33;,1742242,
DB;24-FEB-17 00:00:00;4385936;14;14_15;1 ;40311;36000;40669;36078;BasDef;;;;05-MAR-17 02:56:33;,2524538,
DB;24-FEB-17 00:00:00;4388630;33;33_42;2 ;73740;69300;73676;69224;BasDef;;;;05-MAR-17 02:56:33;,2474967,
DB;24-FEB-17 00:00:00;4388633;7B;7B_93;2 ;30647;26100;31112;26114;BasDef;;;;05-MAR-17 02:56:33;,2787207,
DB;24-FEB-17 00:00:00;4395461;25B;25B_274;1 ;70282;66420;;;BasDef;;;;05-MAR-17 02:56:33;,2413491,
DB;24-FEB-17 00:00:00;4395833;15;15_16;1 ;49992;45600;50214;45561;BasDef;;;;05-MAR-17 02:56:33;,2752027,
DB;24-FEB-17 00:00:00;4395906;46A;46A_67;2 ;45403;41040;46331;41098;BasDef;;;;05-MAR-17 02:56:33;,2752827,
DB;24-FEB-17 00:00:00;4382081;15B;15B_58;2 ;49733;46800;50586;46740;BasDef;;;;05-MAR-17 02:56:33;,2752578,
DB;24-FEB-17 00:00:00;4382090;15B;15B_58;2 ;78829;76500;79670;76634;BasDef;;;;05-MAR-17 02:56:33;,2749936,
DB;24-FEB-17 00:00:00;4382120;130;130_11;2 ;53013;51300;53078;;BasDef;;;;05-MAR-17 02:56:33;,2742188,
DB;24-FEB-17 00:00:00;4382144;16;16_20;1 ;70137;64800;71321;64909;BasDef;;;;05-MAR-17 02:56:33;,1901062,
DB;24-FEB-17 00:00:00;4391715;31;31_18;2 ;31256;28200;30963;28217;BasDef;;;;05-MAR-17 02:56:33;,2671659,
DB;24-FEB-17 00:00:00;4391724;31;31_15;1 ;63681;60600;63353;60598;BasDef;;;;05-MAR-17 02:56:33;,2315813,
DB;24-FEB-17 00:00:00;4393660;61;61_108;2 ;36942;34200;37288;34178;BasDef;;;;05-MAR-17 02:56:33;,2525113,
DB;24-FEB-17 00:00:00;4393707;26;26_26;2 ;60883;59100;61748;;BasDef;;;;05-MAR-17 02:56:33;,2295199,
DB;24-FEB-17 00:00:00;4387036;69;69_42;2 ;79946;77400;;77480;BasDef;;;;05-MAR-17 02:56:33;,2817927,
DB;24-FEB-17 00:00:00;4387121;27B;27B_23;1 ;42262;39900;43075;39898;BasDef;;;;05-MAR-17 02:56:33;,1719070,
DB;24-FEB-17 00:00:00;4386422;17A;17A_17;2 ;53053;49200;54294;49193;BasDef;;;;05-MAR-17 02:56:33;,2146493,
DB;24-FEB-17 00:00:00;4386423;17A;17A_15;1 ;59767;55200;60310;55220;BasDef;;;;05-MAR-17 02:56:33;,2146495,
DB;24-FEB-17 00:00:00;4386440;63;63_30;2 ;66460;63900;66424;63915;BasDef;;;;05-MAR-17 02:56:33;,2796985,
DB;24-FEB-17 00:00:00;4390773;66;66_13;2 ;31237;27300;31825;27312;BasDef;;;;05-MAR-17 02:56:33;,2294414,
DB;24-FEB-17 00:00:00;4390783;145;145_102;1 ;55953;51000;57723;51399;BasDef;;;;05-MAR-17 02:56:33;,2411978,
DB;24-FEB-17 00:00:00;4390784;145;145_105;2 ;62700;57000;;;BasDef;;;;05-MAR-17 02:56:33;,2411979,
DB;24-FEB-17 00:00:00;4391721;31;31_18;2 ;52111;49800;53352;50315;BasDef;;;;05-MAR-17 02:56:33;,2315808,
DB;24-FEB-17 00:00:00;4391781;145;145_105;2 ;38437;33600;38695;33590;BasDef;;;;05-MAR-17 02:56:33;,2421976,
DB;24-FEB-17 00:00:00;4391794;49;49_27;1 ;47184;44100;47061;;BasDef;;;;05-MAR-17 02:56:33;,1725520,
DB;24-FEB-17 00:00:00;4391927;66;66_13;2 ;41586;38100;42522;38395;BasDef;;;;05-MAR-17 02:56:33;,2295846,
DB;24-FEB-17 00:00:00;4391931;66X;66X_93;1 ;67038;62400;67107;62407;BasDef;;;;05-MAR-17 02:56:33;,1755720,
DB;24-FEB-17 00:00:00;4391989;39A;39A_40;1 ;51616;46800;;46787;BasDef;;;;05-MAR-17 02:56:33;,2426175,
DB;24-FEB-17 00:00:00;4392117;9;9_5;1 ;86142;82800;86981;82935;BasDef;;;;05-MAR-17 02:56:33;,2764954,
