ISBN,Book,Author,Themes,Qualities
9780547952017,The Lord Of The Rings: The Fellowship of the Ring,J.R.R. Tolkien,"fantasy, heroism, magic, sorcery, evil, adventure, heroism, quest","popular, entertaining, enjoyable, thrilling, adventurous, moral"
9780007322503,The Lord Of The Rings: The Two Towers,J.R.R. Tolkien,"fantasy, heroism, magic, sorcery, evil, adventure, heroism, quest","popular, entertaining, enjoyable, thrilling, adventurous, moral"
9780547952048,The Lord Of The Rings: Return of the King,J.R.R. Tolkien,"fantasy, heroism, magic, sorcery, evil, adventure, heroism, quest","popular, entertaining, enjoyable, thrilling, adventurous, moral"
9781542047487,Pride And Prejudice,Jane Austen,"society, nobility, marriage, courtship, dating, relationships","subtle, intelligent, sharp, respectable, elegant, classy, feminine, sophisticated, refined"
9780871299208,To Kill A Mockingbird,Harper Lee,"racism, segregation, law, court","intelligent, interesting, sharp, political, compassionate, sympathetic, ethical, sentimental"
9780718193645,Nineteen Eighty-Four,George Orwell,"totalitarianism, oppression, dystopia, future, socialism","scary, frightening, intelligent, menacing, serious, provocative, profound, political, articulate, fascist"
9781781100486,Harry Potter and the Sorceror's Stone,J.K. Rowling,"magic, sorcery, ","welcome, enjoyable, entertaining, popular, appealing, amusing, fun, pleasant"
9780948662027,Romeo and Juliet,William Shakespeare,"love, romance, relationship","erotic, romantic, tragic, emotional, poetic"
9780743477123,Hamlet,William Shakespeare,"revenge, madness, anger, incest, depression","tragic, emotional, poetic, dramatic, suspenseful, talkative, passionate, engaging, compelling"
9780008202347,The Cat in the Hat,Dr. Seuss,"fun, play, comedy","funny, amusing, fun, appealing, pleasurable, whimsical, pleasant, cheerful, cheery, cute, sweet"
9780547951973,The Hobbit,J.R.R. Tolkien,"adventure, heroism, quest","appealing, entertaining, popular, welcome, exciting, innocent, sweet"
9780385528856,The Stand,Stephen King,"future, horror, dystopia, apocalypse","scary, frightening, thrilling, suspenseful, dramatic, dark, terrifying, fearsome"
9780141915036,The Grapes of Wrath,John Steinbeck,"socialism, capitalism, society, hunger, desperation","interesting, dark, educational, socialist, communist, revolutionary, sympathatic, political, compassionate, mature, realistic, sentimental"
9780141439747,Oliver Twist,Charles Dickens,"orphans, poverty, adoption","popular, realistic, socialist, streetwise, urban, sympathetic"
9780590433891,The Adventures of Huckleberry Finn,Mark Twain,"nature, adventure, youth, racism","exciting, entertaining, popular, sympathetic, witty, pleasant, cheerful, cheery, wise, charming, lively"
9781439514672,The Chronicles of Narnia,C.S. Lewis,"fantasy, imagination, magic, adventure, spirituality","exciting, entertaining, popular, moral, spiritual, adventurous , pleasant"
9783736801363,War and Peace,Leo Tolstoy,"war, peace, Russia, aristocracy","complex, serious, impressive, dramatic, epic, substantive, historical, mature, intimidating, significant, thick"
9780743246392,The Great Gatsby,F. Scott Fitzgerald,"capitalism, jazz, money, love, desire, longing","welcome, valuable, classy, slick, attractive, elegant, intoxicating, attractive, articulate, literate, charming, charismatic, graceful, lively, stylish, bright"
9780241968598,One Hundred Years of Solitude ,Gabriel García Márquez ,"loneliness, solitude","subtle, moody, insightful, deep, mature"
9781451673319,Fahrenheit 451 ,Ray Bradbury ,"totalitarianism, oppression, dystopia, future, socialism, books, censorship","dangerous, dramatic, edgy, profound, thought-provoking, fascist"
9780141938684,Steppenwolf,Hermann Hesse ,"ethics, solitude, philosophy","subtle, profound, deep, philosophical, mature"
9784909069023,Treasure Island,Robert Louis Stevenson ,"pirates, piracy, treasure, adventure, map, gold","exciting, entertaining, popular, amusing, fun, adventurous, welcoming, valuable"
9787543321726,The Catcher in the Rye ,J.D. Salinger,"adolescence, youth","subtle, dramatic, dangerous, thought-provoking, influential"
9781551111261,The Picture of Dorian Gray ,Oscar Wilde,"immorality, youth, fantasy, immortality, painting, morality","poetic, elegant, classy, moral, sensual, attractive, glamorous, fashionable, beautiful"
9780472116171,The Iliad,Homer,"adventure, war, siege, invasion","macho, manly, dramatic, epic, impressive, historical"
9781904633372,The Odyssey ,Homer,"adventure, travel, fantasy, mythology, myths","macho, manly, dramatic, epic, impressive, historical"
9780191580000,Wuthering Heights,Emily Brontë ,"love, romance, relationship, longing","romantic, erotic, sexy, dramatic, sensual, emotional, soulful, sentimental"
9780435232917,Animal Farm,George Orwell,"communism, socialism, capitalism, animals, allegory","socialist, dramatic, political, innovative, moral"
9781580495790,A Christmas Carol ,Charles Dickens,"Christmas, Scrooge, ghosts, yuletide","scary, frightening, popular, historical, socialist, warm, endearing, festive, forgiving, sentimental, durable"
9780008202361,The Grinch Who Saved Christmas,Dr. Seuss,"Christmas, yuletide","festive, amusing, fun, funny, poetic, pleasant, cheerful, cheery, innocent, forgiving"
9781471320194,Frankenstein,Mary Wollstonecraft Shelley ,"science, mad scientists, resurrection, grave robbing, monsters","scary, frightening, popular, technical, moral, dark, tragic, scientific"
9781770480681, Alice's Adventures in Wonderland ,Lewis Carroll,"adventure, fantasy, wonder, magic","amusing, fun, funny, clever, smart, intelligent, entertaining, pleasant, friendly, original, charismatic, charming, delightful, innocent, refreshing, sweet"
9781877527586,Through the Looking-Glass,Lewis Carroll,"adventure, fantasy, wonder, magic","amusing, fun, funny, clever, smart, intelligent, entertaining, pleasant, friendly, original, charming, innocent, refreshing, sweet"
9781438128740,Slaughterhouse-Five,Kurt Vonnegut Jr. ,"war, time travel, ","scary, frightening, dramatic, suspenseful"
9781561380220,Jane Eyre,Charlotte Brontë ,"love, romance, relationship","dramatic, suspenseful, historical, mature, romantic"
9781853260865,Dracula,Bram Stoker,"horror, vampires, monsters, romance","scary, frightening, dramatic, suspenseful, historical, durable"
9780307264602,The Handmaid's Tale ,Margaret Atwood,"dystopia, feminism, patriarchy, sexism","dramatic, suspenseful, moral, feminine, fascinating, futuristic"
9781944333362,Crime and Punishment,Fyodor Dostoyevsky ,"crime, punishment, guilt, conscience","dramatic, suspenseful, moral, philosophical"
9788075839855,Ulysses,James Joyce ,"Dublin, Ireland, ","subtle, complex, urban, poetic, progressive, articulate, expressive, difficult, modern, challenging, thick"
9780486432137,The Idiot,Fyodor Dostoyevsky ,"society, aristocracy, nobility, Russia","profound, sympathetic, compassionate, literate, articulate, introspective"
9780140449266,The Count of Monte Cristo ,Alexandre Dumas,"adventure, prison, escape, treasure","exciting, entertaining, popular, amusing, fun, thrilling, adventurous"
9780713996067,In Search Of Lost Time,Marcel Proust,"memory, time, nostalgia, France","subtle, arty, profound, literate, memorable, articulate, mature"
9780822208389,Of Mice and Men,John Steinbeck,"socialism, society, ","profound, sympathetic, compassionate, sentimental"
9781365148019,The Raven,Edgar Allan Poe ,"horror, ","scary, frightening, dark, moody, suspenseful"
9781512399042,Great Expectations ,Charles Dickens,"marriage, love, society","profound, sympathetic, urban, dramatic, suspenseful, sentimental"
9781451685596,Candide,Voltaire,"adventure, philosophy, satire, ","subtle, funny, profound, provocative, philosophical, refreshing, witty, sophisticated, hilarious"
9780007422579,Murder on the Orient Express,Agatha Christie,"murder, death, mystery, trains, detectives, whodunnit","complex, mysterious, suspenseful, dramatic, complicated, stylish, surprising"
9780007422548,The Murder of Roger Ackroyd,Agatha Christie,"murder, death, mystery, trains, detectives, whodunnit","complex, mysterious, suspenseful, dramatic, complicated, stylish, surprising, satisfying"
9780141391601,Lolita,Vladimir Nabokov ,"sex, love, romance, unreliable narrator","sexual, controversial, sensual, romantic, erotic, sexy"
9781853261046,The Secret Garden,Frances Hodgson Burnett ,"parable, secrecy","wise, comforting, soothing, endearing"
9781853267956,Don Quixote,Miguel de Cervantes ,"madness, senility, adventure, travel","amusing, fun, funny, sympathetic, historical, romantic"
9780441172719,Dune,Frank Herbert,"space, science fiction, fantasy, ","complex, epic, impressive, scientific, adventurous, spiritual, high-tech, exotic"
9783190001507,The Old Man and The Sea,Ernest Hemingway ,"fishing, old age","profound, sympathetic, wise, insightful, mature"
9783736802148,Les Misérables ,Victor Hugo,"revolution, misery, deprivation, uprising, justice","sympathetic, socialist, urban, compassionate, historical, sentimental"
9780330508537,The Hitchhiker's Guide to the Galaxy ,Douglas Adams,"space, science fiction, fantasy, comedy, travel ","helpful, useful, educational, wise, informed, amusing, fun, funny, scientific, satirical, articulate, clever, smart, intelligent"
9781407021010,Brave New World ,Aldous Huxley,"dystopia, future, genetics, eugenics, genetic engineering","relevant, advanced, thought-provoking, profound, political"
9780806129204,The Call of the Wild ,Jack London,"nature, wilderness, animals, survival","natural, adventurous, thrilling, engrossing"
9781416548942,Gone With The Wind,Margaret Mitchell ,"love, romance, war, civil war, ","historical, epic, impressive, classy, elegant, sentimental, stylish, glamorous"
9780375838309,The Golden Compass,Philip Pullman ,"fantasy, religion, atheism, magic, adventure","endearing, exciting, amusing, fun, thrilling"
9780679732242,The Sound and The Fury,William Faulkner ,"politics, socialism","socialist, dramatic, political, soulful, introspective, expressive"
9781853262371,Middlemarch,George Eliot ,"history, society, marriage","subtle, serious, compassionate, historical, mature"
9781408824856,The Kite Runner,Khaled Hosseini,"Afghanistan, refugees, war, fundamentalism","subtle, serious, compassionate, political"
9781782122463,The Divine Comedy,Dante Alighieri ,"heaven, hell, purgatory, afterlife, poetry, religion, ","amusing, fun, funny, intelligent, satirical, religious, spiritual, poetic, cutting, dark, violent"
9780486474915,The Adventures of Sherlock Holmes ,Arthur Conan Doyle,"mystery, detectives, puzzles, ","suspenseful, dramatic, entertaining, mysterious, clever, smart"
9780141378558,Charlie and the Chocolate Factory,Roald Dahl,"chocolate, candy, invention, imagination","amusing, fun, funny, welcome, entertaining, popular, endearing, appealing, pleasant, cheerful, imaginative, sweet"
9780141378534,James and the Giant Peach,Roald Dahl,"imagination, fantasy, travel, adventure","amusing, fun, funny, welcome, entertaining, popular, endearing, appealing, adventurous, cheerful, imaginative, sweet"
9781849163279,The Girl With The Dragon Tattoo,Stieg Larsson ,"feminism, mystery, tattoos, hacking, hackers","exciting, thrilling, suspenseful, dramatic, mysterious"
9780194216388,Tess of the D'Urbervilles ,Thomas Hardy,"romance, tragedy","subtle, sympathetic, romantic, tragic, feminine"
9781409091158,The Da Vinci Code,Dan Brown,"mystery, history, symbols, icons, riddles, puzzles, travel, art","thrilling, exciting, predictable, popular, fast-paced, mechanical"
9780062416216,The Alchemist,Paulo Coelho,"alchemy, spirituality, religion, wisdom, philosophy","subtle, wise, profound, philosophical, soulful"
9780141908328,A Clockwork Orange ,Anthony Burgess,"dystopia, mind control, brainwashing, violence, gangs, Beethoven","satirical, dark, violent, dangerous, profound"
9780571248209,The Bell Jar,Sylvia Plath ,"suicide, depression, poetry","subtle, romantic, sympathetic, soulful, compassionate"
9780486115160,Madame Bovary,Gustave Flaubert ,"adultery, romance, marriage","sexy, serious, romantic, sensual, erotic, classy, cultured"
9780979660733,Heart of Darkness ,Joseph Conrad,"colonialism, empire, Africa, exploitation, travel, quest","intelligent, profound, political, historical, creepy, tragic"
9780192552310,Twenty Thousand Leagues Under the Sea ,Jules Verne,"adventure, ocean, science, fantasy","exciting, thrilling, suspenseful, adventurous, gripping"
9781408138724,The Road,Cormac McCarthy ,"dystopia, apocalypse, horror","scary, frightening, dark, moody, suspenseful, creepy"
9781329571884,The Call of Cthulhu,H.P. Lovecraft,"horror, monsters, ","scary, frightening, exciting, complex, dark, threatening, menacing, intimidating"
9780140424385,The Canterbury Tales,Geoffrey Chaucer ,"sex, adultery","entertaining, endearing, engrossing"
9780399529207,Lord of the Flies,William Golding ,"youth, violence, gangs","scary, frightening, serious, dark, philosophical"
9781407086804,The End of the Affair ,Graham Greene,"romance, love, adultery, sex, marriage","subtle, romantic, moral, sensual, philosophical, tragic, observant, sentimental"
9780141923505,East of Eden,John Steinbeck,"youth, sex, ","subtle, socialist, moral, progressive, profound"
9781635376296,The Sorrows of Young Werther,Johann Wolfgang von Goethe ,"depression, suicide","serious, sombre, somber, poetic, sentimental"
9781853260088,Moby Dick,Herman Melville ,"whales, ocean, whaling, obsession, quest","dangerous, threatening, epic, impressive"
9781101137192,Atlas Shrugged ,Ayn Rand,"capitalism, science, politics","dangerous, political, fascist, serious"
9780141439610,The Woman in White ,Wilkie Collins,"ghosts, mystery","thrilling, suspenseful, dramatic, mysterious"
9780545229937,The Hunger Games,Suzanne Collins ,"dystopia, youth, future, totalitarianism, games","believable, political, dramatic, exciting, suspenseful, popular"
9781603034012,War of the Worlds,H.G. Wells ,"invasion, aliens, war, fantasy, germs","exciting, scary, frightening, military, adventurous"
9781405513463,Rebecca,Daphne du Maurier ,"love, romance, mystery","subtle, dark, romantic, mysterious"
9781434421616,Of Human Bondage,W. Somerset Maugham ,"romance, marriage","subtle, moody, artistic, heartfelt, honest"
9780525555315,Winnie-The-Pooh,A.A. Milne ,"bears, toys, children, honey","amusing, fun, funny, welcome, entertaining, popular, pleasant, friendly, innocent, cuddly, harmless, cute, sweet"
9781427029089,Persuasion,Jane Austen,"love, romance, marriage","classy, respectable, elegant, civilized, romantic, refined"
9783736802391,The Trial,Franz Kafka,"law, court, justice, injustice, persecution","subtle, complex, mysterious, threatening, labyrinthine"
9780791075814,On The Road,Jack Kerouac ,"travel, drugs, beat generation","hip, original, cool, edgy, intoxicating"
9781588361653,In Cold Blood,Truman Capote ,"murder, death, homicide, justice","edgy, criminal, neutral, unbiased, consequential, observant, realistic, lethal, authentic, truthful"
9780755379927,American Gods,Neil Gaiman,"mythology, myths, gods","entertaining, thrilling, cultured, suspenseful, clever, smart, dramatic, religious, spiritual, original"
9780099540977,Beloved,Toni Morrison ,"poetry, love","subtle, romantic, sympathetic, poetic"
9780811219761,Siddhartha ,Hermann Hesse ,"religion, philosophy, wisdom","sincere, profound, philosophical, religious"
9780743482769,King Lear,William Shakespeare,"madness, old age, senility","subtle, poetic, wise, dramatic, tragic"
9780826414212,The Metamorphosis ,Franz Kafka,"horror, insects","subtle, complex, scary, frightening"
9780521563239,The Taming of the Shrew ,William Shakespeare,"marriage, romance, sexism, feminism","funny, romantic, witty, clever"
9781682306451,A Room With A View,E.M. Forster ,"love, romance, marriage, travel, tourism","romantic, civilized, cultured, classy, elegant, posh"
9780521598224,Much Ado About Nothing ,William Shakespeare,"love, romance, marriage","amusing, fun, romantic, silly, dramatic, articulate"
9781501156687,It,Stephen King,"horror, clowns, monsters, abduction, clown","scary, frightening, satanic, terrifying, fearsome"
9789500402057,Ficciones,Jorge Luis Borges ,"fantasy, imagination, puzzles, riddles","complex, labyrinthine, mysterious"
9781473521391,The Glass Bead Game ,Hermann Hesse ,"future, creativity, music","subtle, wise, profound, philosophical"
9781448111831,A Prayer for Owen Meany ,John Irving,"death, tragedy, prayer","sympathetic, socialist, urban"
9780241975329,Perfume: The Story of a Murderer ,Patrick Süskind ,"perfume, murder, fragrance, obsession","thrilling, historical, suspenseful, dramatic, fragrant"
